떡전교앞
동대문05, 3분49초후[1번째 전], 12분13초후[9번째 전]
121, 곧 도착, 5분13초후[2번째 전]
420, 곧 도착, 8분1초후[3번째 전]
720, 5분48초후[3번째 전], 12분32초후[5번째 전]
N72, 운행종료, 운행종료
1227, 2분52초후[0번째 전], 16분39초후[9번째 전]
2230, 8분17초후[4번째 전], 21분19초후[11번째 전]
3216, 1분36초후[1번째 전], 10분24초후[7번째 전]
3220, 9분53초후[5번째 전], 27분21초후[17번째 전]
