정류소명, 코드, 단축코드
창신쌍용2단지.한성대후문,100900013,1524
산정빌라,100900014,1870
경희궁자이2.3단지,100900015,1523
오거리,100900016,1522
국민생활관,100900017,1521
구기빌라,100900018,1872
마트앞,100900019,1873
통인시장,100900020,1519
양현관,100900021,1520
국민은행.세검정지점,100900022,1874
삼청동주민센터,100900024,1518
세검초등학교,100900025,1517
빨래터.고희동미술관,100900026,1516
혜화역4번출구,100900027,1876
방송통신대앞,100900028,1877
화정박물관,100900029,1513
서울대치과대학,100900030,1878
서울국제고등학교,100900031,1512
샘미용실,100900032,1511
효제초교.연동교회.김마리아활동터,100900033,1879
박노수미술관,100900034,1510
금융연수원,100900035,1509
화정박물관,100900036,1508
인사미술공간.세탁소,100900037,1507
서울대치과대학,100900038,1883
낙산공원,100900039,1506
명륜3가종점,100900040,1503
수성동계곡,100900041,1502
서울대학교병원현관.암병원현관,100900042,1887
이화사거리,100900043,1886
서대문3번출구,100900044,1505
통일부,100900045,1525
명륜시장.성대후문,100900046,1531
평창파출소,100900047,1500
가회동주민센터,100900048,1564
독립문초등학교,100900049,1562
아름다운실버,100900050,1561
창덕궁,100900051,1558
북촌한옥마을입구.정세권활동터,100900052,1556
청룡사.보문파크뷰자이아파트,100900053,1555
소나무집,100900054,1553
경복궁,100900056,1551
종로3가.1.3.5호선,100900057,1550
안국선원.삼거리,100900058,1548
사우디대사관앞.경남빌라,100900059,1547
종로센트레빌후문.e편한세상보문아파트,100900060,1546
경희궁자이4단지,100900061,1545
언덕앞,100900062,1544
혜화우체국,100900063,1543
새마을금고,100900064,1542
광화문새마을금고,100900065,1541
종로4가.종묘공원,100900066,1539
인왕빌딩,100900067,1538
중앙중고,100900068,1537
감사원,100900069,1536
명신초.삼선푸르지오.힐스테이트,100900070,1535
영천시장,100900071,1534
청련사입구,100900072,1533
한국사회과학자료원,100900073,1594
감나무골공원,100900074,1593
혜화역1번출구,100900075,1592
서울대병원장례식장,100900076,1591
완성빌라,100900077,1590
낙원상가,100900078,1589
힐탑,100900079,1586
상명대후문,100900080,1584
수운회관,100900081,1583
넓은마당,100900082,1581
화인빌라,100900083,1580
서울대어린이병원응급실.갑상선센터,100900085,1578
헌법재판소.안국역,100900086,1576
무악현대아파트후문,100900088,1574
박종화고택입구,100900089,1573
이화사거리,100900090,1572
산정빌라,100900091,1571
아름다운가게.정독도서관,100900092,1570
쌍용아파트입구.창신역,100900093,1569
천사유치원,100900094,1568
보현산신각,100900095,1567
원남로터리,100900096,1566
구기빌라,100900097,1565
평창동산림제3초소,100900098,1795
통인시장.종로구보건소,100900099,1793
삼청파출소,100900100,1792
종로사우나,100900101,1790
종로도서관,100900102,1776
평창공원지킴터입구,100900103,1732
오거리.한옥마을입구,100900104,1729
정독도서관,100900105,1728
인사동들머리.3.1독립선언터,100900106,1727
종로5가.3번출구,100900107,1725
활터앞,100900108,1724
참샘골공원,100900109,1723
성균관대학교,100900110,1722
광화문새마을금고,100900111,1721
상명초등학교,100900112,1714
단군성전앞,100900113,1699
무애사,100900114,1698
서교빌라,100900115,1684
